PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	origCPC1	origCPC2	origCPC3	ourCPCnum1	ourCPCnum2	ourCPCnum3	GeoCode
pat0591	num-12/912 552	yr2012	Solar Mounting/Rack	Lee Vining  CA	CA	CA	USA	13	Solar Mounting/Rack	H01L	Y02B		H01L	Y02E	F24J	Other_CA
pat0684	num-13/103 721	yr2011	Solar Inverter	Fort Collins  CO	CO	CO	USA	6	Solar Inverter	H02J	Y02E		H02J	Y02E	H02M	CO
pat0262	num-8219259	yr2012	Solar Monitoring	Armonk  NY	NY	NY	USA	3	Solar Monitoring	Y02E	H02J		H02J	Y02E	Y02B	NY
pat0156	num-7940032	yr2011	Solar Inverter	Gyunggi-do	N/A	N/A	South Korea	6	Solar Inverter	Y02B	G05F		H02J	Y02E	H02M	asia
pat0565	num-12/862 742	yr2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	7	Solar Inverter	G01R	H01L		Y02E	H02J	H01L	Bay_Area
pat0436	num-12/424 763	yr2009	Solar Monitoring	Zhangzhou	N/A	N/A	China	12	Solar Mounting/Rack	Y02E	H01M		Y02E	H01L	F24J	asia
pat0807	num-13/427 163	yr2012	Solar Inverter	Seoul	N/A	N/A	South Korea	11	Solar Inverter	H01L			Y02E	H02J	G05F	asia
pat0752	num-13/273 525	yr2012	Solar Mounting/Rack	Athens  OH	OH	OH	USA	2	Solar Mounting/Rack				F24J	Y02E	H01L	OH
pat0636	num-13/028 122	yr2011	Solar Inverter	Fremont  CA	CA	CA	USA	0	Solar Inverter	Y02E	H02H	H02J	H02M	Y02E	H02J	Bay_Area
pat0220	num-8138630	yr2012	Solar Monitoring	Albuquerque  NM	NM	NM	USA	6	Solar Inverter	H02J	Y02E		H02J	Y02E	H02M	NM
pat0517	num-12/736 943	yr2011	Solar Monitoring	Tokyo	N/A	N/A	Japan	12	Solar Mounting/Rack	G01R	Y02E	H01L	Y02E	H01L	F24J	jp
pat0469	num-12/564 783	yr2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack	H01L	Y02B	Y02E	Y02B	H01L	Y02E	Bay_Area
pat0221	num-8138638	yr2012	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter	Y02B	H02M	Y02B	H02M	Y02E	H02J	germany
pat0361	num-11/879 054	yr2009	Solar Inverter	Petaluma  CA	CA	CA	USA	12	Solar Mounting/Rack	Y02B	H02M		Y02E	H01L	F24J	Other_CA
pat0114	num-7834471	yr2010	Solar Monitoring	Waterford  MI	MI	MI	USA	3	Solar Monitoring	Y02E	Y02B	Y02E	H02J	Y02E	Y02B	MI
