PatId, OrigTechArea, topicId, ourTechArea, ourCPCnum1, ourCPCnum2, ourCPCnum3 
pat578,Solar Monitoring; Solar Inverter,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat335,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat439,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat820,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat731,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat670,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat321,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat260,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat664,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat168,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat725,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat834,Solar Mounting/Rack;,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat730,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat821,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat671,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat579,Solar Monitoring; Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat275,Solar Mounting/Rack,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat438,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat334,Solar  Monitoring; Solar Inverter,12,Site Assessment,H01L,Y02E,G01R
pat294,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat553,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat598,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat50,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat412,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat157,Solar Inverter; Solar Monitoring,14,Solar Inverter,H02M,Y02E,H02J
pat690,Solar Mounting/Rack,8,Solar Inverter,Y02E,H01L,H02J
pat189,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat142,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat685,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat407,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat45,Solar Inverter,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat281,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat546,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat802,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat713,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat195,Solar Mounting/Rack; Solar Monitoring,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat652,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat699,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat256,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat591,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat317,System Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat92,Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat59,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat87,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat584,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat180,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat647,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat817,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat706,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat161,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat66,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat424,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat328,Site Assessment,1,Solar Monitoring,Y04S,H04Q,Y02E
pat565,Solar Monitoring,12,Site Assessment,H01L,Y02E,G01R
pat269,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat570,Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat431,Solar Inverter,12,Site Assessment,H01L,Y02E,G01R
pat73,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat739,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat828,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat678,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat174,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat16,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat358,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat393,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat515,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat219,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat111,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat797,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat782,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat749,Solar Mounting/Rack,12,Site Assessment,H01L,Y02E,G01R
pat608,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat104,Solar Inverter,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat500,Solar Monitoring,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat441,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat386,Solar Inverter,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat226,Solar Inverter; Solar Monitoring,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat367,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat29,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat6,Solar Monitoring,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat763,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat637,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat776,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat372,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat233,Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat127,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat523,Solar Monitoring,12,Site Assessment,H01L,Y02E,G01R
