PatId, OrigTechArea, topicId, ourTechArea, ourCPCnum1, ourCPCnum2, ourCPCnum3 
pat216,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat842,Solar Mounting/Rack; Solar Inverter,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat798,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat753,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat638,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat134,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat779,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat471,Solar Inverter;,5,Solar Inverter,H02J,Y02E,H02M
pat33,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat530,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat525,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat229,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat26,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat464,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat368,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat9,Solar Monitoring; Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat121,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat478,Solar Inverter; Solar Monitoring,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat374,Solar Inverter,12,Site Assessment,H01L,Y02E,G01R
pat539,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat631,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat770,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat765,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat0,Solar Inverter,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat624,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat128,Solar Inverter,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat220,Solar Mounting/Rack; Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat361,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat506,Solar Monitoring,12,Site Assessment,H01L,Y02E,G01R
pat380,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat447,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat784,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat117,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat791,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat395,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat499,Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat10,Solar Inverter,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat452,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat513,Solar Monitoring,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat534,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat475,Solar Inverter; Solar Monitoring,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat379,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat130,Site Assessment,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat629,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat125,Site Assessment,12,Site Assessment,H01L,Y02E,G01R
pat460,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat521,Solar Monitoring,14,Solar Inverter,H02M,Y02E,H02J
pat346,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat481,Solar Inverter; Solar Monitoring,14,Solar Inverter,H02M,Y02E,H02J
pat603,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat742,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat789,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat846,Solar Mounting/Rack; Solar Track,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat757,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat616,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat212,Solar Inverter;,5,Solar Inverter,H02J,Y02E,H02M
pat398,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat353,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat494,Solar Inverter; Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat106,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat780,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat384,Solar Inverter,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat443,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat488,Solar Inverter; Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat502,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat517,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat391,Solar Inverter,6,Solar Mounting/Rack,H01L,Y02B,Y02E
