pid, patent #, tech area, city, state, country, url, status, cpc_class
pat713,0,Solar Mounting/Rack,Santa Clara CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=56&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,valid,B63B 35/44 20130101; B63B 2035/4453 20130101; B63B 2035/446 20130101; B63B 2035/4466 20130101; F03D 9/007 20130101; F03D 9/008 20130101; F05B 2240/93 20130101; Y02E 10/38 20130101; Y02E 10/72 20130101
pat714,0,Solar Mounting/Rack,Santa Clara CA,CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=51&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,no CPC,
pat715,0,Solar Mounting/Rack,Rangsdorf,,Germany,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120060901%22.PGNR.&OS=DN/20120060901&RS=DN/20120060901,valid,F24J 2/5207 20130101; F24J 2/5256 20130101; F24J 2002/4665 20130101
pat716,0,Solar Mounting/Rack,Santa Clara,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=64&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,valid,E04F 13/0805 20130101; E04F 13/083 20130101; E04F 13/142 20130101; F24J 2/5245 20130101; Y02B 10/20 20130101
pat717,0,Solar Mounting/Rack,Palo Alto CA,CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070074755%22.PGNR.&OS=DN/20070074755&RS=DN/20070074755,valid,H01L 31/02008 20130101; H01L 31/048 20130101; Y02E 10/50 20130101
pat718,0,Solar Mounting/Rack,Palo Alto Ca,CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080041434%22.PGNR.&OS=DN/20080041434&RS=DN/20080041434,valid,B23K 31/02 20130101; B23K 2201/18 20130101; H01L 31/048 20130101; H01L 31/05 20130101; Y02E 10/50 20130101
pat719,0,Solar Mounting/Rack,Los Altos CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090114270%22.PGNR.&OS=DN/20090114270&RS=DN/20090114270,valid,F24J 2/5247 20130101; F24J 2/5254 20130101; F24J 2002/5284 20130101; F24J 2002/5298 20130101; H01L 31/0422 20130101; H01L 31/0482 20130101; Y02B 10/12 20130101; Y02E 10/50 20130101
pat720,0,Solar Mounting/Rack,Los Altos CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090114271%22.PGNR.&OS=DN/20090114271&RS=DN/20090114271,valid,F24J 2/5205 20130101; F24J 2/5254 20130101; F24J 2/5262 20130101; H01L 31/042 20130101; H01L 31/0422 20130101; H01L 31/0482 20130101; Y02E 10/50 20130101
pat721,0,Solar Mounting/Rack,San Jose CA,USA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100096073%22.PGNR.&OS=DN/20100096073&RS=DN/20100096073,valid,B32B 17/10018 20130101; F24J 2/52 20130101; H01L 31/0422 20130101; H01L 31/048 20130101; Y02E 10/50 20130101
pat722,0,Solar Mounting/Rack,Sunnyvale CA,USA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100269428%22.PGNR.&OS=DN/20100269428&RS=DN/20100269428,valid,F24J 2/5205 20130101; F24J 2/5239 20130101; F24J 2/5241 20130101; F24J 2/5245 20130101; F24J 2/5258 20130101; F24J 2002/4672 20130101; H01L 31/0482 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101
pat723,0,Solar Mounting/Rack,Los Alto Hills CA,USA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100218441%22.PGNR.&OS=DN/20100218441&RS=DN/20100218441,valid,F24J 2/4638 20130101; F24J 2/5207 20130101; F24J 2/5239 20130101; F24J 2/5241 20130101; F24J 2/5245 20130101; F24J 2/5256 20130101; F24J 2002/5281 20130101; F24J 2002/5286 20130101; H01L 31/0422 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101
pat724,0,Solar Mounting/Rack,Los Altos CA,USA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100236610%22.PGNR.&OS=DN/20100236610&RS=DN/20100236610,valid,F24J 2/5205 20130101; F24J 2/5254 20130101; F24J 2/5256 20130101; F24J 2002/5216 20130101; H01L 31/0422 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101
pat725,0,Solar Mounting/Rack,Sunnyvale CA,CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=52&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,valid,F24J 2/085 20130101; F24J 2/4623 20130101; G02B 17/0668 20130101; G02B 17/0864 20130101; G02B 27/0944 20130101; H01L 31/0522 20130101; Y02E 10/43 20130101; Y02E 10/52 20130101
