"PatId"	"Yeartxt"	"OrigTechArea"	"city"	"state"	"state"	"country"	"topicId"	"ourTechArea"	"origCPC1"	"origCPC2"	"origCPC3"	"ourCPCnum1"	"ourCPCnum2"	"ourCPCnum3"	"GeoCode"	"Year"	"TopicId-Id"	"count1"	"Patnum"
"pat0661"	"yr2011"	"Solar Inverter"	"Niestetal"	"N/A"	"N/A"	"Germany"	0	"Solar Inverter"	"H02M"	"Y02B"		"H02M"	"Y02E"	"H02J"	"germany"	2011	"topic-00"	1	"num-13/070 769"
"pat0430"	"yr2010"	"Solar Inverter"	"Mountain View  CA"	"CA"	"CA"	"USA"	11	"Solar Inverter"	"G05F"			"Y02E"	"H02J"	"G05F"	"Bay_Area"	2010	"topic-11"	1	"num-12/393 009"
"pat0003"	"yr2005"	"Solar Mounting/Rack"	"Tokyo"	"N/A"	"N/A"	"Japan"	2	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"jp"	2005	"topic-02"	1	"num-6930238"
"pat0001"	"yr2005"	"Solar Inverter"	"Taipei"	"N/A"	"N/A"	"Taiwan"	0	"Solar Inverter"	"Y02E"	"H02J"		"H02M"	"Y02E"	"H02J"	"asia"	2005	"topic-00"	1	"num-6914418"
"pat0428"	"yr2009"	"Solar Mounting/Rack"	"Hopewell  NJ"	"NJ"	"NJ"	"USA"	14	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"NJ"	2009	"topic-14"	1	"num-12/391 623"
"pat0166"	"yr2011"	"Solar Inverter"	"New Castle  CO"	"CO"	"CO"	"USA"	6	"Solar Inverter"	"Y02E"	"Y02B"	"Y02E"	"H02J"	"Y02E"	"H02M"	"CO"	2011	"topic-06"	1	"num-7977818"
"pat0454"	"yr2010"	"Solar Mounting/Rack"	"Blomberg"	"N/A"	"N/A"	"Germany"	9	"Solar Mounting/Rack"	"H01R"	"Y02E"	"H01L"	"H01L"	"Y02E"	"H01R"	"germany"	2010	"topic-09"	1	"num-12/525 794"
"pat0148"	"yr2011"	"Solar Mounting/Rack"	"Novato  CA"	"CA"	"CA"	"USA"	4	"Solar Mounting/Rack"	"Y02E"	"F24J"	"Y02B"	"Y02B"	"H01L"	"Y02E"	"Bay_Area"	2011	"topic-04"	1	"num-7921607"
"pat0473"	"yr2010"	"Solar Mounting/Rack"	"Fort Collins  CO"	"CO"	"CO"	"USA"	8	"Solar Inverter"	"G05F"			"H01L"	"Y02E"	"Y02B"	"CO"	2010	"topic-08"	1	"num-12/581 793"
"pat0553"	"yr2012"	"Solar Inverter"	"Schenectady  NY"	"NY"	"NY"	"USA"	7	"Solar Inverter"	"H01L"	"F24J"	"H02J"	"Y02E"	"H02J"	"H01L"	"NY"	2012	"topic-07"	1	"num-12/846 057"
