pat_id, title, USPA#, kind_code, date, serial#, series_code, field_date, us_class, pub_class, int_class, assignee, city, state
pat3415, Interlocking solar roof tiles with heat exchange, 20080135088, A1, June 12  2008, 804695, 11, May 18  2007, 136/246, 136/246, H01L 31/0483 20130101; H01L 31/052 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/50 20130101, , , 
pat3416, Photovoltaic cells  modules and methods of making same, 20080135086, A1, June 12  2008, 788573, 11, April 20  2007, 136/246 ; 136/255; 216/56, 136/246 ; 136/255; 216/56, H01L 31/022425 20130101; H01L 31/042 20130101; H01L 31/052 20130101; H01L 31/068 20130101; H01L 31/072 20130101; H01L 31/075 20130101; Y02E 10/50 20130101; Y02E 10/548 20130101, , , 
pat3417, Modular solar panels with heat exchange, 20080135085, A1, June 12  2008, 788456, 11, April 19  2007, 136/246, 136/246, F24J 2/045 20130101; F24J 2/4621 20130101; F24J 2/4641 20130101; H01L 31/0482 20130101; H01L 31/052 20130101; Y02E 10/50 20130101; Y02E 10/52 20130101, , , 
pat3418, System for modular building construction, 20080134589, A1, June 12  2008, 893639, 11, August 17  2007, 52/79.1, 52/79.1, E04B 1/003 20130101; E04B 1/3483 20130101; E04B 2001/34892 20130101; E04H 1/04 20130101; F24D 3/145 20130101; Y02B 30/22 20130101, , , 
pat3419, Automated Leveling Apparatus, 20080134529, A1, June 12  2008, 024626, 12, February 1  2008, 33/366.11, 33/366.11, G01C 5/02 20130101, , , 
pat3420, Modular solar panels with heat exchange & methods of making thereof, 20080134497, A1, June 12  2008, 788703, 11, April 19  2007, 29/623.3 ; 29/623.4, 29/623.3 ; 29/623.4, H01L 31/0422 20130101; H01L 31/052 20130101; H01M 14/005 20130101; Y02E 10/50 20130101, , , 
pat3421, Use of renewable energy like solar  wind  geothermal  biomass  and hydropower for manufacturing combustion air for a fossil fuel burner and firebox, 20080131830, A1, June 5  2008, 634312, 11, December 5  2006, 432/220, 432/220, F24D 5/00 20130101; F24D 11/00 20130101; F24D 2200/06 20130101; F24D 2200/14 20130101; F24D 2200/15 20130101; F24J 2/0466 20130101; F24J 2/055 20130101; F24J 2/07 20130101; F24J 2/12 20130101; F24J 2/13 20130101; F24J 2/14 20130101; F24J 2/16 20130101; F24J 2/18 20130101; F24J 2/507 20130101; F24J 3/082 20130101; Y02B 10/22 20130101; Y02B 10/30 20130101; Y02B 10/70 20130101; Y02E 10/125 20130101; Y02E 10/41 20130101; Y02E 10/42 20130101; Y02E 10/44 20130101; Y02E 10/45 20130101, , , 
pat3422, ORNAMENTAL LAMP ASSEMBLY, 20080130273, A1, June 5  2008, 963964, 11, December 24  2007, 362/122 ; 362/183; 362/191; 445/23, 362/122 ; 362/183; 362/191; 445/23, A41G 1/005 20130101; B44C 5/005 20130101; B44C 5/06 20130101; F21S 9/037 20130101; F21V 15/01 20130101; F21V 15/04 20130101; F21V 21/0824 20130101; F21V 21/32 20130101; F21V 23/0442 20130101; F21W 2121/00 20130101; F21W 2131/10 20130101; F21W 2131/109 20130101; F21Y 2101/02 20130101; G09F 13/04 20130101, , , 
pat3423, Hands-Free Lighting Devices, 20080130272, A1, June 5  2008, 941558, 11, November 16  2007, 362/106 ; 2/209.13, 362/106 ; 2/209.13, A42B 1/242 20130101; G02C 11/04 20130101, , , 
pat3424, Inspection of optical elements, 20080129984, A1, June 5  2008, 607684, 11, December 1  2006, 356/124, 356/124, G01M 11/005 20130101; G01M 11/0264 20130101; H01L 31/0522 20130101, , , 
pat3425, Sun sensor assembly and related method of using, 20080128586, A1, June 5  2008, 974407, 11, October 12  2007, 250/203.4 ; 250/208.2, 250/203.4 ; 250/208.2, G01S 3/7861 20130101, , , 
pat3426, System  method and apparatus for communicating information from a personal electronic device, 20080128505, A1, June 5  2008, 998690, 11, November 30  2007, 235/462.13 ; 235/462.01, 235/462.13 ; 235/462.01, G06K 7/0008 20130101; G06K 7/10237 20130101; G06K 7/1095 20130101; H04L 29/08657 20130101; H04W 4/02 20130101, , , 
pat3427, Solar Energy Collection Systems, 20080128017, A1, June 5  2008, 630191, 11, June 16  2005, 136/248 ; 126/600; 126/692; 29/890.033, 136/248 ; 126/692; 126/600; 29/890.033, F24J 2/07 20130101; F24J 2/1047 20130101; F24J 2/16 20130101; F24J 2/38 20130101; F24J 2/405 20130101; F24J 2/541 20130101; F24J 2002/1076 20130101; F24J 2002/5468 20130101; Y02B 10/10 20130101; Y02B 10/20 20130101; Y02B 10/70 20130101; Y02E 10/41 20130101; Y02E 10/47 20130101; Y02E 10/52 20130101, , , 
pat3428, SOLAR COLLECTOR ARRANGEMENT WITH REFLECTING SURFACE, 20080128015, A1, June 5  2008, 738079, 11, April 20  2007, 136/246, 136/246, H01L 31/048 20130101; H01L 31/0522 20130101; Y02E 10/52 20130101, , , 
pat3430, Inertiatrons and methods and devices using same, 20080127775, A1, June 5  2008, 800320, 11, May 4  2007, 74/84R, 74/84.R, F03G 3/00 20130101, , , 
pat3431, Semiconductor mount, 20080123313, A1, May 29  2008, 509944, 11, August 24  2006, 361/807 ; 257/E21.499; 438/106, 361/807 ; 438/106; 257/E21.499, H01L 31/05 20130101; H01L 31/052 20130101; H01L 31/0522 20130101; Y02E 10/52 20130101, , , 
pat3432, Multi-Source  Multi-Load Systems with a Power Extractor, 20080122518, A1, May 29  2008, 849242, 11, August 31  2007, 327/518 ; 320/137; 320/166, 327/518 ; 320/137; 320/166, H02J 3/382 20130101; H02J 7/0068 20130101; H02J 7/35 20130101, , , 
pat3433, POWER EXTRACTOR FOR IMPEDANCE MATCHING, 20080122449, A1, May 29  2008, 774565, 11, July 7  2007, 324/601, 324/601, G05F 1/67 20130101; H02J 7/35 20130101, , , 
pat3434, SYSTEM AND APPARATUSES WITH MULTIPLE POWER EXTRACTORS COUPLED TO DIFFERENT POWER SOURCES, 20080121272, A1, May 29  2008, 774564, 11, July 7  2007, 136/248, 136/248, G05F 1/67 20130101; H01L 31/02021 20130101; H01L 31/0428 20130101; H02J 7/35 20130101; Y02E 10/50 20130101, , , 
pat3435, Photovoltaic roof tile system, 20080121270, A1, May 29  2008, 605021, 11, November 28  2006, 136/247, 136/247, F24J 2/0455 20130101; F24J 2/065 20130101; H01L 31/0483 20130101; H01L 31/055 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/40 20130101; Y02E 10/52 20130101, , , 
